<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,RSI,Signal RSI
USDJPY,20010103,1700,114.44,114.44,114.42,114.42,4,49.29149493191765,0.0
USDJPY,20010103,1800,114.42,114.42,114.42,114.42,4,49.29149493191764,0.0
USDJPY,20010103,1900,114.42,114.42,114.39,114.39,4,38.58568016536607,0.0
USDJPY,20010103,2000,114.38,114.38,114.36,114.38,4,35.79486012203007,0.0
USDJPY,20010103,2100,114.38,114.38,114.38,114.38,4,35.79486012203007,0.0
USDJPY,20010103,2200,114.38,114.38,114.38,114.38,4,35.79486012203007,0.0
USDJPY,20010103,2300,114.38,114.39,114.38,114.39,4,41.11434112320898,0.0
USDJPY,20010103,2400,114.39,114.39,114.38,114.38,4,37.74643420226578,0.0
USDJPY,20010103,2500,114.37,114.39,114.37,114.39,4,42.79304978525968,0.0
USDJPY,20010103,2600,114.39,114.39,114.39,114.39,4,42.79304978525968,0.0
USDJPY,20010103,2700,114.39,114.42,114.39,114.42,4,55.37854572803236,0.0
USDJPY,20010103,2800,114.42,114.42,114.42,114.42,4,55.37854572803236,0.0
USDJPY,20010103,2900,114.42,114.42,114.42,114.42,4,55.37854572803236,0.0
USDJPY,20010103,3000,114.42,114.43,114.42,114.43,4,59.12256417024402,0.0
USDJPY,20010103,3100,114.43,114.44,114.43,114.44,4,62.510166722033,0.0
USDJPY,20010103,3200,114.44,114.44,114.44,114.44,4,62.510166722033,0.0
USDJPY,20010103,3300,114.44,114.44,114.44,114.44,4,62.510166722033,0.0
USDJPY,20010103,3400,114.44,114.44,114.44,114.44,4,62.510166722033006,0.0
USDJPY,20010103,3500,114.44,114.44,114.44,114.44,4,62.510166722033,0.0
USDJPY,20010103,3600,114.44,114.44,114.44,114.44,4,62.510166722033006,0.0
USDJPY,20010103,3700,114.44,114.44,114.44,114.44,4,62.510166722033,0.0
USDJPY,20010103,3800,114.44,114.44,114.44,114.44,4,62.510166722033,0.0
USDJPY,20010103,3900,114.43,114.43,114.42,114.42,4,48.08998048448263,0.0
USDJPY,20010103,4000,114.42,114.42,114.42,114.42,4,48.08998048448264,0.0
USDJPY,20010103,4100,114.42,114.42,114.42,114.42,4,48.08998048448263,0.0
USDJPY,20010103,4200,114.42,114.44,114.42,114.44,4,59.700962157117985,0.0
USDJPY,20010103,4300,114.44,114.44,114.44,114.44,4,59.700962157117985,0.0
USDJPY,20010103,4400,114.44,114.44,114.44,114.44,4,59.700962157117985,0.0
USDJPY,20010103,4500,114.44,114.44,114.44,114.44,4,59.700962157117985,0.0
USDJPY,20010103,4600,114.44,114.44,114.44,114.44,4,59.700962157117985,0.0
USDJPY,20010103,4700,114.44,114.44,114.44,114.44,4,59.700962157117985,0.0
USDJPY,20010103,4800,114.44,114.44,114.44,114.44,4,59.700962157117985,0.0
USDJPY,20010103,4900,114.45,114.45,114.45,114.45,4,66.0748239886805,0.0
USDJPY,20010103,5000,114.45,114.45,114.45,114.45,4,66.07482398868049,0.0
USDJPY,20010103,5100,114.45,114.45,114.45,114.45,4,66.07482398868049,0.0
USDJPY,20010103,5200,114.46,114.47,114.46,114.47,4,75.6823824734876,0.0
USDJPY,20010103,5300,114.47,114.47,114.46,114.47,4,75.6823824734876,0.0
USDJPY,20010103,5400,114.47,114.47,114.47,114.47,4,75.6823824734876,0.0
USDJPY,20010103,5500,114.47,114.47,114.47,114.47,4,75.6823824734876,0.0
USDJPY,20010103,5600,114.47,114.47,114.43,114.44,4,48.16317072553671,-1.0
USDJPY,20010103,5700,114.44,114.44,114.44,114.44,4,48.163170725536716,0.0
USDJPY,20010103,5800,114.44,114.44,114.44,114.44,4,48.163170725536716,0.0
USDJPY,20010103,5900,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,10100,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,10200,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,10300,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,10400,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,10500,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,10600,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,10700,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,10800,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,10900,114.45,114.45,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,11000,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,11100,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,11200,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,11300,114.43,114.44,114.43,114.44,4,48.1631707255367,0.0
USDJPY,20010103,11400,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,11500,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,11600,114.44,114.44,114.44,114.44,4,48.16317072553671,0.0
USDJPY,20010103,11700,114.44,114.44,114.41,114.41,4,18.518656494667567,0.0
USDJPY,20010103,11800,114.41,114.41,114.39,114.39,4,12.843244055023447,0.0
USDJPY,20010103,11900,114.39,114.4,114.39,114.4,4,25.18876605198406,0.0
USDJPY,20010103,12000,114.4,114.4,114.4,114.4,4,25.18876605198406,0.0
USDJPY,20010103,12100,114.4,114.4,114.4,114.4,4,25.18876605198406,0.0
USDJPY,20010103,12200,114.4,114.4,114.4,114.4,4,25.18876605198406,0.0
USDJPY,20010103,12300,114.4,114.4,114.4,114.4,4,25.18876605198406,0.0
USDJPY,20010103,12500,114.4,114.41,114.4,114.41,4,37.92518293584769,1.0
USDJPY,20010103,12600,114.41,114.42,114.41,114.42,4,47.54285156678948,0.0
USDJPY,20010103,12700,114.42,114.42,114.42,114.42,4,47.54285156678948,0.0
USDJPY,20010103,12800,114.42,114.42,114.42,114.42,4,47.54285156678948,0.0
USDJPY,20010103,12900,114.42,114.42,114.42,114.42,4,47.54285156678948,0.0
USDJPY,20010103,13000,114.42,114.42,114.42,114.42,4,47.54285156678948,0.0
USDJPY,20010103,13100,114.43,114.44,114.43,114.44,4,63.7941101251774,0.0
USDJPY,20010103,13200,114.44,114.44,114.44,114.44,4,63.7941101251774,0.0
USDJPY,20010103,13300,114.44,114.44,114.44,114.44,4,63.7941101251774,0.0
USDJPY,20010103,13400,114.44,114.44,114.44,114.44,4,63.7941101251774,0.0
USDJPY,20010103,13500,114.44,114.44,114.44,114.44,4,63.7941101251774,0.0
USDJPY,20010103,13600,114.44,114.44,114.44,114.44,4,63.7941101251774,0.0
USDJPY,20010103,13800,114.44,114.44,114.44,114.44,4,63.7941101251774,0.0
USDJPY,20010103,13900,114.45,114.45,114.45,114.45,4,71.27024368813267,0.0
USDJPY,20010103,14000,114.45,114.45,114.44,114.45,4,71.27024368813267,0.0
USDJPY,20010103,14100,114.45,114.45,114.45,114.45,4,71.27024368813267,0.0
USDJPY,20010103,14200,114.45,114.45,114.45,114.45,4,71.27024368813267,0.0
USDJPY,20010103,14300,114.45,114.45,114.45,114.45,4,71.27024368813267,0.0
USDJPY,20010103,14400,114.45,114.45,114.45,114.45,4,71.27024368813267,0.0
USDJPY,20010103,14500,114.45,114.45,114.45,114.45,4,71.27024368813267,0.0
USDJPY,20010103,14600,114.45,114.45,114.45,114.45,4,71.27024368813267,0.0
USDJPY,20010103,14700,114.45,114.45,114.45,114.45,4,71.27024368813267,0.0
USDJPY,20010103,14800,114.45,114.45,114.45,114.45,4,71.27024368813267,0.0
USDJPY,20010103,15000,114.45,114.45,114.45,114.45,4,71.27024368813267,0.0
USDJPY,20010103,15100,114.44,114.44,114.44,114.44,4,48.59610480153092,-1.0
USDJPY,20010103,15200,114.44,114.44,114.44,114.44,4,48.59610480153092,0.0
USDJPY,20010103,15400,114.44,114.44,114.44,114.44,4,48.59610480153092,0.0
USDJPY,20010103,15500,114.43,114.43,114.43,114.43,4,34.777254722757846,0.0
USDJPY,20010103,15700,114.43,114.43,114.43,114.43,4,34.777254722757846,0.0
USDJPY,20010103,15800,114.43,114.43,114.43,114.43,4,34.777254722757846,0.0
USDJPY,20010103,15900,114.44,114.44,114.44,114.44,4,51.8708287991965,0.0
USDJPY,20010103,20000,114.44,114.44,114.44,114.44,4,51.8708287991965,0.0
USDJPY,20010103,20100,114.44,114.44,114.44,114.44,4,51.8708287991965,0.0
USDJPY,20010103,20200,114.44,114.44,114.44,114.44,4,51.87082879919651,0.0
USDJPY,20010103,20300,114.44,114.44,114.44,114.44,4,51.87082879919651,0.0
USDJPY,20010103,20400,114.44,114.44,114.44,114.44,4,51.87082879919651,0.0
USDJPY,20010103,20500,114.44,114.44,114.44,114.44,4,51.87082879919651,0.0
USDJPY,20010103,20600,114.44,114.44,114.44,114.44,4,51.87082879919651,0.0
USDJPY,20010103,20700,114.44,114.44,114.44,114.44,4,51.87082879919651,0.0
USDJPY,20010103,20800,114.44,114.44,114.44,114.44,4,51.8708287991965,0.0
USDJPY,20010103,20900,114.44,114.44,114.44,114.44,4,51.8708287991965,0.0
USDJPY,20010103,21000,114.44,114.44,114.44,114.44,4,51.8708287991965,0.0
USDJPY,20010103,21100,114.44,114.44,114.44,114.44,4,51.87082879919649,0.0
USDJPY,20010103,21200,114.44,114.44,114.44,114.44,4,51.87082879919649,0.0
USDJPY,20010103,21400,114.44,114.44,114.44,114.44,4,51.87082879919649,0.0
USDJPY,20010103,21500,114.44,114.44,114.44,114.44,4,51.87082879919649,0.0
USDJPY,20010103,21600,114.44,114.44,114.44,114.44,4,51.87082879919649,0.0
USDJPY,20010103,21700,114.44,114.44,114.44,114.44,4,51.87082879919649,0.0
USDJPY,20010103,21800,114.44,114.44,114.44,114.44,4,51.87082879919649,0.0
USDJPY,20010103,22000,114.44,114.44,114.44,114.44,4,51.87082879919649,0.0
USDJPY,20010103,22200,114.44,114.44,114.44,114.44,4,51.87082879919649,0.0
USDJPY,20010103,22300,114.44,114.45,114.44,114.44,4,51.87082879919649,0.0
USDJPY,20010103,22400,114.44,114.45,114.44,114.44,4,51.87082879919649,0.0
USDJPY,20010103,22500,114.44,114.44,114.44,114.44,4,51.87082879919649,0.0
USDJPY,20010103,22700,114.44,114.44,114.44,114.44,4,51.87082879919649,0.0
USDJPY,20010103,22800,114.44,114.45,114.44,114.45,4,81.98277407203159,0.0
USDJPY,20010103,22900,114.45,114.45,114.45,114.45,4,81.98277407203159,0.0
USDJPY,20010103,23000,114.45,114.45,114.44,114.44,4,47.509604703986376,-1.0
USDJPY,20010103,23100,114.44,114.44,114.44,114.44,4,47.509604703986376,0.0
USDJPY,20010103,23200,114.44,114.44,114.44,114.44,4,47.509604703986376,0.0
USDJPY,20010103,23300,114.44,114.45,114.44,114.45,4,65.58425296443328,0.0
USDJPY,20010103,23400,114.45,114.45,114.45,114.45,4,65.58425296443328,0.0
USDJPY,20010103,23500,114.45,114.45,114.45,114.45,4,65.58425296443328,0.0
USDJPY,20010103,23600,114.46,114.47,114.46,114.47,4,81.4983995661478,0.0
USDJPY,20010103,23700,114.47,114.47,114.47,114.47,4,81.4983995661478,0.0
USDJPY,20010103,23800,114.47,114.47,114.47,114.47,4,81.4983995661478,0.0
USDJPY,20010103,23900,114.47,114.47,114.47,114.47,4,81.4983995661478,0.0
USDJPY,20010103,24000,114.47,114.48,114.47,114.48,4,85.88721730687426,0.0
USDJPY,20010103,24100,114.48,114.48,114.48,114.48,4,85.88721730687426,0.0
USDJPY,20010103,24200,114.48,114.48,114.48,114.48,4,85.88721730687426,0.0
USDJPY,20010103,24300,114.48,114.48,114.48,114.48,4,85.88721730687426,0.0
USDJPY,20010103,24400,114.49,114.5,114.49,114.5,4,91.38480441017028,0.0
USDJPY,20010103,24500,114.5,114.53,114.5,114.53,4,94.71222817240222,0.0
USDJPY,20010103,24600,114.53,114.54,114.53,114.54,4,95.35608676730276,0.0
USDJPY,20010103,24700,114.54,114.56,114.54,114.55,4,95.89444827672605,0.0
USDJPY,20010103,24800,114.56,114.56,114.56,114.56,4,96.35012102186913,0.0
USDJPY,20010103,24900,114.57,114.58,114.56,114.58,4,97.05430217639528,0.0
USDJPY,20010103,25000,114.58,114.58,114.58,114.58,4,97.05430217639528,0.0
USDJPY,20010103,25100,114.57,114.57,114.56,114.56,4,79.30852001544773,0.0
USDJPY,20010103,25200,114.56,114.56,114.56,114.56,4,79.30852001544773,0.0
USDJPY,20010103,25300,114.56,114.56,114.56,114.56,4,79.30852001544773,0.0
USDJPY,20010103,25400,114.56,114.56,114.56,114.56,4,79.30852001544773,0.0
USDJPY,20010103,25500,114.56,114.58,114.56,114.58,4,83.39279998462206,0.0
USDJPY,20010103,25600,114.57,114.58,114.57,114.58,4,83.39279998462206,0.0
USDJPY,20010103,25700,114.57,114.57,114.56,114.56,4,67.85832874661389,-1.0
USDJPY,20010103,25800,114.56,114.58,114.56,114.58,4,73.22888286329975,0.0
USDJPY,20010103,25900,114.57,114.57,114.56,114.56,4,62.061365146826816,-1.0
USDJPY,20010103,30000,114.56,114.57,114.56,114.57,4,64.94033238897826,0.0
USDJPY,20010103,30100,114.57,114.58,114.57,114.58,4,67.58902636990771,0.0
USDJPY,20010103,30200,114.58,114.58,114.58,114.58,4,67.58902636990771,0.0
USDJPY,20010103,30300,114.58,114.58,114.58,114.58,4,67.58902636990771,0.0
USDJPY,20010103,30400,114.58,114.58,114.58,114.58,4,67.58902636990771,0.0
USDJPY,20010103,30500,114.58,114.58,114.58,114.58,4,67.58902636990771,0.0
USDJPY,20010103,30600,114.58,114.58,114.58,114.58,4,67.58902636990771,0.0
USDJPY,20010103,30700,114.58,114.58,114.56,114.56,4,54.696894108476634,0.0
USDJPY,20010103,30800,114.56,114.56,114.56,114.56,4,54.696894108476634,0.0
USDJPY,20010103,30900,114.56,114.56,114.56,114.56,4,54.696894108476634,0.0
USDJPY,20010103,31000,114.56,114.56,114.56,114.56,4,54.696894108476634,0.0
USDJPY,20010103,31100,114.56,114.56,114.56,114.56,4,54.696894108476634,0.0
USDJPY,20010103,31200,114.56,114.56,114.56,114.56,4,54.69689410847663,0.0
USDJPY,20010103,31300,114.56,114.56,114.56,114.56,4,54.69689410847663,0.0
USDJPY,20010103,31400,114.56,114.56,114.56,114.56,4,54.69689410847663,0.0
USDJPY,20010103,31500,114.56,114.56,114.56,114.56,4,54.69689410847663,0.0
USDJPY,20010103,31600,114.56,114.56,114.56,114.56,4,54.69689410847663,0.0
USDJPY,20010103,31700,114.56,114.56,114.56,114.56,4,54.69689410847663,0.0
USDJPY,20010103,31800,114.55,114.56,114.55,114.56,4,54.696894108476634,0.0
USDJPY,20010103,31900,114.56,114.56,114.56,114.56,4,54.69689410847663,0.0
USDJPY,20010103,32000,114.56,114.56,114.56,114.56,4,54.69689410847663,0.0
USDJPY,20010103,32100,114.56,114.56,114.56,114.56,4,54.69689410847663,0.0
USDJPY,20010103,32200,114.56,114.56,114.56,114.56,4,54.69689410847662,0.0
USDJPY,20010103,32300,114.56,114.56,114.56,114.56,4,54.69689410847663,0.0
USDJPY,20010103,32500,114.56,114.56,114.56,114.56,4,54.69689410847662,0.0
USDJPY,20010103,32600,114.54,114.56,114.52,114.56,4,54.69689410847663,0.0
USDJPY,20010103,32700,114.56,114.56,114.56,114.56,4,54.69689410847663,0.0
USDJPY,20010103,32800,114.56,114.56,114.56,114.56,4,54.69689410847663,0.0
USDJPY,20010103,32900,114.56,114.56,114.56,114.56,4,54.696894108476634,0.0
USDJPY,20010103,33000,114.56,114.56,114.56,114.56,4,54.69689410847663,0.0
USDJPY,20010103,33100,114.54,114.55,114.54,114.55,4,35.88083055854145,0.0
USDJPY,20010103,33300,114.55,114.55,114.55,114.55,4,35.88083055854145,0.0
USDJPY,20010103,33500,114.56,114.56,114.54,114.54,4,25.648114630504892,0.0
USDJPY,20010103,33600,114.54,114.54,114.54,114.54,4,25.648114630504892,0.0
USDJPY,20010103,33700,114.54,114.54,114.54,114.54,4,25.648114630504892,0.0
USDJPY,20010103,33900,114.54,114.54,114.53,114.53,4,18.91188024824592,0.0
USDJPY,20010103,34000,114.53,114.53,114.53,114.53,4,18.91188024824592,0.0
USDJPY,20010103,34100,114.53,114.53,114.53,114.53,4,18.91188024824592,0.0
USDJPY,20010103,34200,114.53,114.53,114.53,114.53,4,18.91188024824592,0.0
USDJPY,20010103,34300,114.53,114.53,114.53,114.53,4,18.91188024824592,0.0
USDJPY,20010103,34400,114.53,114.53,114.53,114.53,4,18.91188024824592,0.0
USDJPY,20010103,34500,114.53,114.53,114.53,114.53,4,18.91188024824592,0.0
USDJPY,20010103,34600,114.53,114.54,114.53,114.54,4,43.73644714203291,1.0
USDJPY,20010103,34700,114.54,114.54,114.54,114.54,4,43.736447142032915,0.0
USDJPY,20010103,34800,114.54,114.54,114.54,114.54,4,43.736447142032915,0.0
USDJPY,20010103,34900,114.54,114.54,114.54,114.54,4,43.73644714203291,0.0
USDJPY,20010103,35000,114.54,114.54,114.54,114.54,4,43.73644714203291,0.0
USDJPY,20010103,35100,114.54,114.54,114.54,114.54,4,43.73644714203291,0.0
USDJPY,20010103,35200,114.54,114.54,114.54,114.54,4,43.736447142032915,0.0
USDJPY,20010103,35300,114.54,114.54,114.54,114.54,4,43.736447142032915,0.0
USDJPY,20010103,35400,114.55,114.56,114.55,114.56,4,73.30602621293416,0.0
USDJPY,20010103,35500,114.56,114.56,114.56,114.56,4,73.30602621293414,0.0
USDJPY,20010103,35600,114.56,114.56,114.56,114.56,4,73.30602621293414,0.0
USDJPY,20010103,35700,114.56,114.56,114.56,114.56,4,73.30602621293414,0.0
USDJPY,20010103,35800,114.56,114.56,114.56,114.56,4,73.30602621293414,0.0
USDJPY,20010103,35900,114.56,114.58,114.56,114.58,4,84.84394652483638,0.0
USDJPY,20010103,40000,114.58,114.58,114.58,114.58,4,84.84394652483638,0.0
USDJPY,20010103,40100,114.58,114.58,114.58,114.58,4,84.84394652483638,0.0
USDJPY,20010103,40200,114.58,114.58,114.58,114.58,4,84.84394652483638,0.0
USDJPY,20010103,40300,114.58,114.58,114.58,114.58,4,84.84394652483638,0.0
USDJPY,20010103,40400,114.58,114.58,114.58,114.58,4,84.84394652483638,0.0
USDJPY,20010103,40500,114.58,114.59,114.58,114.59,4,88.66520279553782,0.0
USDJPY,20010103,40600,114.6,114.6,114.58,114.58,4,69.73156272280221,-1.0
USDJPY,20010103,40700,114.58,114.58,114.58,114.58,4,69.73156272280221,0.0
USDJPY,20010103,40800,114.58,114.58,114.58,114.58,4,69.73156272280221,0.0
USDJPY,20010103,40900,114.58,114.58,114.58,114.58,4,69.73156272280221,0.0
USDJPY,20010103,41000,114.58,114.58,114.58,114.58,4,69.73156272280221,0.0
USDJPY,20010103,41100,114.58,114.58,114.58,114.58,4,69.73156272280221,0.0
USDJPY,20010103,41200,114.57,114.57,114.56,114.56,4,41.85010203754365,0.0
USDJPY,20010103,41300,114.57,114.58,114.57,114.58,4,59.352699813057555,0.0
USDJPY,20010103,41400,114.58,114.58,114.58,114.58,4,59.352699813057555,0.0
USDJPY,20010103,41500,114.58,114.58,114.58,114.58,4,59.35269981305755,0.0
USDJPY,20010103,41600,114.58,114.58,114.58,114.58,4,59.35269981305755,0.0
USDJPY,20010103,41700,114.58,114.58,114.58,114.58,4,59.352699813057555,0.0
USDJPY,20010103,41800,114.58,114.58,114.56,114.56,4,41.332238656427144,0.0
USDJPY,20010103,41900,114.56,114.57,114.56,114.56,4,41.332238656427144,0.0
USDJPY,20010103,42000,114.56,114.56,114.56,114.56,4,41.332238656427144,0.0
USDJPY,20010103,42200,114.56,114.56,114.56,114.56,4,41.33223865642714,0.0
USDJPY,20010103,42300,114.56,114.56,114.56,114.56,4,41.33223865642714,0.0
USDJPY,20010103,42400,114.56,114.56,114.56,114.56,4,41.33223865642714,0.0
USDJPY,20010103,42500,114.56,114.56,114.55,114.56,4,41.33223865642714,0.0
USDJPY,20010103,42600,114.56,114.56,114.56,114.56,4,41.33223865642714,0.0
USDJPY,20010103,42700,114.56,114.56,114.56,114.56,4,41.33223865642714,0.0
USDJPY,20010103,42800,114.56,114.56,114.56,114.56,4,41.33223865642714,0.0
USDJPY,20010103,42900,114.56,114.56,114.56,114.56,4,41.33223865642714,0.0
USDJPY,20010103,43000,114.56,114.56,114.56,114.56,4,41.33223865642714,0.0
USDJPY,20010103,43100,114.56,114.56,114.56,114.56,4,41.33223865642714,0.0
USDJPY,20010103,43200,114.56,114.56,114.56,114.56,4,41.332238656427144,0.0
USDJPY,20010103,43300,114.56,114.56,114.55,114.55,4,28.935409294055788,0.0
USDJPY,20010103,43400,114.55,114.55,114.55,114.55,4,28.935409294055788,0.0
USDJPY,20010103,43500,114.55,114.56,114.55,114.56,4,47.27556430255771,1.0
USDJPY,20010103,43600,114.56,114.56,114.56,114.56,4,47.27556430255771,0.0
USDJPY,20010103,43700,114.56,114.56,114.56,114.56,4,47.27556430255771,0.0
USDJPY,20010103,43800,114.56,114.56,114.56,114.56,4,47.27556430255771,0.0
USDJPY,20010103,43900,114.56,114.56,114.56,114.56,4,47.27556430255771,0.0
USDJPY,20010103,44000,114.56,114.56,114.55,114.56,4,47.27556430255771,0.0
USDJPY,20010103,44100,114.55,114.55,114.54,114.54,4,26.188974990566933,0.0
USDJPY,20010103,44200,114.54,114.54,114.54,114.54,4,26.188974990566933,0.0
USDJPY,20010103,44300,114.54,114.54,114.54,114.54,4,26.188974990566933,0.0
USDJPY,20010103,44400,114.54,114.54,114.53,114.53,4,20.483438010680658,0.0
USDJPY,20010103,44500,114.53,114.53,114.53,114.53,4,20.483438010680658,0.0
USDJPY,20010103,44600,114.53,114.53,114.53,114.53,4,20.483438010680658,0.0
USDJPY,20010103,44700,114.53,114.53,114.53,114.53,4,20.483438010680672,0.0
USDJPY,20010103,44800,114.53,114.53,114.53,114.53,4,20.483438010680672,0.0
USDJPY,20010103,44900,114.53,114.55,114.53,114.54,4,39.55752236510277,1.0
USDJPY,20010103,45000,114.54,114.54,114.54,114.54,4,39.557522365102756,0.0
USDJPY,20010103,45100,114.54,114.54,114.54,114.54,4,39.557522365102756,0.0
USDJPY,20010103,45200,114.54,114.56,114.54,114.56,4,62.20449980773903,0.0
USDJPY,20010103,45300,114.56,114.56,114.56,114.56,4,62.20449980773903,0.0
USDJPY,20010103,45400,114.56,114.56,114.56,114.56,4,62.20449980773903,0.0
USDJPY,20010103,45500,114.55,114.55,114.54,114.54,4,42.374378197259226,0.0
USDJPY,20010103,45600,114.54,114.54,114.54,114.54,4,42.374378197259226,0.0
USDJPY,20010103,45700,114.54,114.54,114.54,114.54,4,42.374378197259226,0.0
USDJPY,20010103,45800,114.54,114.54,114.54,114.54,4,42.374378197259226,0.0
USDJPY,20010103,45900,114.54,114.54,114.53,114.53,4,34.893439530108665,0.0
USDJPY,20010103,50000,114.53,114.54,114.53,114.53,4,34.893439530108665,0.0
