<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,%K,%D,Signal SO
USDJPY,20010103,1100,114.42,114.44,114.42,114.44,4,100.0,91.66666666667258,0.0
USDJPY,20010103,1200,114.43,114.43,114.43,114.43,4,75.00000000001776,83.33333333334518,-1.0
USDJPY,20010103,1300,114.43,114.43,114.43,114.43,4,75.00000000001776,83.33333333334518,0.0
USDJPY,20010103,1400,114.43,114.44,114.43,114.44,4,100.0,83.33333333334518,0.0
USDJPY,20010103,1600,114.44,114.44,114.44,114.44,4,100.0,91.66666666667258,0.0
USDJPY,20010103,1700,114.44,114.44,114.42,114.42,4,50.0,83.33333333333333,-1.0
USDJPY,20010103,1800,114.42,114.42,114.42,114.42,4,50.0,66.66666666666667,0.0
USDJPY,20010103,1900,114.42,114.42,114.39,114.39,4,0.0,33.333333333333336,0.0
USDJPY,20010103,2000,114.38,114.38,114.36,114.38,4,24.99999999999556,24.999999999998522,0.0
USDJPY,20010103,2100,114.38,114.38,114.38,114.38,4,24.99999999999556,16.666666666663705,0.0
USDJPY,20010103,2200,114.38,114.38,114.38,114.38,4,24.99999999999556,24.999999999995556,0.0
USDJPY,20010103,2300,114.38,114.39,114.38,114.39,4,37.500000000002224,29.16666666666445,0.0
USDJPY,20010103,2400,114.39,114.39,114.38,114.38,4,24.99999999999556,29.16666666666445,0.0
USDJPY,20010103,2500,114.37,114.39,114.37,114.39,4,37.500000000002224,33.333333333333336,0.0
USDJPY,20010103,2600,114.39,114.39,114.39,114.39,4,37.500000000002224,33.333333333333336,0.0
USDJPY,20010103,2700,114.39,114.42,114.39,114.42,4,75.00000000000445,50.00000000000296,0.0
USDJPY,20010103,2800,114.42,114.42,114.42,114.42,4,75.00000000000445,62.500000000003716,0.0
USDJPY,20010103,2900,114.42,114.42,114.42,114.42,4,75.00000000000445,75.00000000000445,0.0
USDJPY,20010103,3000,114.42,114.43,114.42,114.43,4,87.5000000000111,79.16666666667334,0.0
USDJPY,20010103,3100,114.43,114.44,114.43,114.44,4,100.0,87.50000000000519,0.0
USDJPY,20010103,3200,114.44,114.44,114.44,114.44,4,100.0,95.83333333333702,0.0
USDJPY,20010103,3300,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,3400,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,3500,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,3600,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,3700,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,3800,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,3900,114.43,114.43,114.42,114.42,4,60.000000000005684,86.66666666666856,-1.0
USDJPY,20010103,4000,114.42,114.42,114.42,114.42,4,60.000000000005684,73.33333333333712,0.0
USDJPY,20010103,4100,114.42,114.42,114.42,114.42,4,0.0,40.00000000000379,0.0
USDJPY,20010103,4200,114.42,114.44,114.42,114.44,4,100.0,53.333333333335226,0.0
USDJPY,20010103,4300,114.44,114.44,114.44,114.44,4,100.0,66.66666666666667,0.0
USDJPY,20010103,4400,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,4500,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,4600,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,4700,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,4800,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,4900,114.45,114.45,114.45,114.45,4,100.0,100.0,0.0
USDJPY,20010103,5000,114.45,114.45,114.45,114.45,4,100.0,100.0,0.0
USDJPY,20010103,5100,114.45,114.45,114.45,114.45,4,100.0,100.0,0.0
USDJPY,20010103,5200,114.46,114.47,114.46,114.47,4,100.0,100.0,0.0
USDJPY,20010103,5300,114.47,114.47,114.46,114.47,4,100.0,100.0,0.0
USDJPY,20010103,5400,114.47,114.47,114.47,114.47,4,100.0,100.0,0.0
USDJPY,20010103,5500,114.47,114.47,114.47,114.47,4,100.0,100.0,0.0
USDJPY,20010103,5600,114.47,114.47,114.43,114.44,4,24.999999999982236,74.99999999999407,-1.0
USDJPY,20010103,5700,114.44,114.44,114.44,114.44,4,24.999999999982236,49.999999999988155,0.0
USDJPY,20010103,5800,114.44,114.44,114.44,114.44,4,24.999999999982236,24.999999999982236,0.0
USDJPY,20010103,5900,114.44,114.44,114.44,114.44,4,24.999999999982236,24.999999999982236,0.0
USDJPY,20010103,10100,114.44,114.44,114.44,114.44,4,24.999999999982236,24.999999999982236,0.0
USDJPY,20010103,10200,114.44,114.44,114.44,114.44,4,24.999999999982236,24.999999999982236,0.0
USDJPY,20010103,10300,114.44,114.44,114.44,114.44,4,24.999999999982236,24.999999999982236,0.0
USDJPY,20010103,10400,114.44,114.44,114.44,114.44,4,24.999999999982236,24.999999999982236,0.0
USDJPY,20010103,10500,114.44,114.44,114.44,114.44,4,24.999999999982236,24.999999999982236,0.0
USDJPY,20010103,10600,114.44,114.44,114.44,114.44,4,24.999999999982236,24.999999999982236,0.0
USDJPY,20010103,10700,114.44,114.44,114.44,114.44,4,24.999999999982236,24.999999999982236,0.0
USDJPY,20010103,10800,114.44,114.44,114.44,114.44,4,24.999999999982236,24.999999999982236,0.0
USDJPY,20010103,10900,114.45,114.45,114.44,114.44,4,24.999999999982236,24.999999999982236,0.0
USDJPY,20010103,11000,114.44,114.44,114.44,114.44,4,24.999999999982236,24.999999999982236,0.0
USDJPY,20010103,11100,114.44,114.44,114.44,114.44,4,0.0,16.666666666654823,0.0
USDJPY,20010103,11200,114.44,114.44,114.44,114.44,4,0.0,8.333333333327412,0.0
USDJPY,20010103,11300,114.43,114.44,114.43,114.44,4,49.99999999996447,16.666666666654823,1.0
USDJPY,20010103,11400,114.44,114.44,114.44,114.44,4,49.99999999996447,33.333333333309646,0.0
USDJPY,20010103,11500,114.44,114.44,114.44,114.44,4,49.99999999996447,49.99999999996447,0.0
USDJPY,20010103,11600,114.44,114.44,114.44,114.44,4,49.99999999996447,49.99999999996447,0.0
USDJPY,20010103,11700,114.44,114.44,114.41,114.41,4,0.0,33.333333333309646,0.0
USDJPY,20010103,11800,114.41,114.41,114.39,114.39,4,0.0,16.666666666654823,0.0
USDJPY,20010103,11900,114.39,114.4,114.39,114.4,4,16.666666666674562,5.555555555558187,1.0
USDJPY,20010103,12000,114.4,114.4,114.4,114.4,4,16.666666666674562,11.111111111116374,0.0
USDJPY,20010103,12100,114.4,114.4,114.4,114.4,4,16.666666666674562,16.666666666674562,0.0
USDJPY,20010103,12200,114.4,114.4,114.4,114.4,4,16.666666666674562,16.666666666674562,0.0
USDJPY,20010103,12300,114.4,114.4,114.4,114.4,4,20.00000000001137,17.77777777778683,1.0
USDJPY,20010103,12500,114.4,114.41,114.4,114.41,4,39.999999999994316,25.55555555556008,0.0
USDJPY,20010103,12600,114.41,114.42,114.41,114.42,4,60.000000000005684,40.00000000000379,0.0
USDJPY,20010103,12700,114.42,114.42,114.42,114.42,4,60.000000000005684,53.333333333335226,0.0
USDJPY,20010103,12800,114.42,114.42,114.42,114.42,4,60.000000000005684,60.000000000005684,0.0
USDJPY,20010103,12900,114.42,114.42,114.42,114.42,4,60.000000000005684,60.000000000005684,0.0
USDJPY,20010103,13000,114.42,114.42,114.42,114.42,4,60.000000000005684,60.000000000005684,0.0
USDJPY,20010103,13100,114.43,114.44,114.43,114.44,4,100.0,73.33333333333712,0.0
USDJPY,20010103,13200,114.44,114.44,114.44,114.44,4,100.0,86.66666666666856,0.0
USDJPY,20010103,13300,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,13400,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,13500,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,13600,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,13800,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,13900,114.45,114.45,114.45,114.45,4,100.0,100.0,0.0
USDJPY,20010103,14000,114.45,114.45,114.44,114.45,4,100.0,100.0,0.0
USDJPY,20010103,14100,114.45,114.45,114.45,114.45,4,100.0,100.0,0.0
USDJPY,20010103,14200,114.45,114.45,114.45,114.45,4,100.0,100.0,0.0
USDJPY,20010103,14300,114.45,114.45,114.45,114.45,4,100.0,100.0,0.0
USDJPY,20010103,14400,114.45,114.45,114.45,114.45,4,100.0,100.0,0.0
USDJPY,20010103,14500,114.45,114.45,114.45,114.45,4,100.0,100.0,0.0
USDJPY,20010103,14600,114.45,114.45,114.45,114.45,4,100.0,100.0,0.0
USDJPY,20010103,14700,114.45,114.45,114.45,114.45,4,100.0,100.0,0.0
USDJPY,20010103,14800,114.45,114.45,114.45,114.45,4,100.0,100.0,0.0
USDJPY,20010103,15000,114.45,114.45,114.45,114.45,4,100.0,100.0,0.0
USDJPY,20010103,15100,114.44,114.44,114.44,114.44,4,0.0,66.66666666666667,-1.0
USDJPY,20010103,15200,114.44,114.44,114.44,114.44,4,0.0,33.333333333333336,0.0
USDJPY,20010103,15400,114.44,114.44,114.44,114.44,4,0.0,0.0,0.0
USDJPY,20010103,15500,114.43,114.43,114.43,114.43,4,0.0,0.0,0.0
USDJPY,20010103,15700,114.43,114.43,114.43,114.43,4,0.0,0.0,0.0
USDJPY,20010103,15800,114.43,114.43,114.43,114.43,4,0.0,0.0,0.0
USDJPY,20010103,15900,114.44,114.44,114.44,114.44,4,49.99999999996447,16.666666666654823,1.0
USDJPY,20010103,20000,114.44,114.44,114.44,114.44,4,49.99999999996447,33.333333333309646,0.0
USDJPY,20010103,20100,114.44,114.44,114.44,114.44,4,49.99999999996447,49.99999999996447,0.0
USDJPY,20010103,20200,114.44,114.44,114.44,114.44,4,49.99999999996447,49.99999999996447,0.0
USDJPY,20010103,20300,114.44,114.44,114.44,114.44,4,49.99999999996447,49.99999999996447,0.0
USDJPY,20010103,20400,114.44,114.44,114.44,114.44,4,49.99999999996447,49.99999999996447,0.0
USDJPY,20010103,20500,114.44,114.44,114.44,114.44,4,49.99999999996447,49.99999999996447,0.0
USDJPY,20010103,20600,114.44,114.44,114.44,114.44,4,100.0,66.66666666664298,0.0
USDJPY,20010103,20700,114.44,114.44,114.44,114.44,4,100.0,83.33333333332149,0.0
USDJPY,20010103,20800,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,20900,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,21000,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,21100,114.44,114.44,114.44,114.44,4,100.0,100.0,0.0
USDJPY,20010103,21200,114.44,114.44,114.44,114.44,4,0.0,66.66666666666667,-1.0
USDJPY,20010103,21400,114.44,114.44,114.44,114.44,4,0.0,33.333333333333336,0.0
USDJPY,20010103,21500,114.44,114.44,114.44,114.44,4,0.0,0.0,0.0
USDJPY,20010103,21600,114.44,114.44,114.44,114.44,4,0.0,0.0,0.0
USDJPY,20010103,21700,114.44,114.44,114.44,114.44,4,0.0,0.0,0.0
USDJPY,20010103,21800,114.44,114.44,114.44,114.44,4,0.0,0.0,0.0
USDJPY,20010103,22000,114.44,114.44,114.44,114.44,4,0.0,0.0,0.0
USDJPY,20010103,22200,114.44,114.44,114.44,114.44,4,0.0,0.0,0.0
USDJPY,20010103,22300,114.44,114.45,114.44,114.44,4,0.0,0.0,0.0
USDJPY,20010103,22400,114.44,114.45,114.44,114.44,4,0.0,0.0,0.0
USDJPY,20010103,22500,114.44,114.44,114.44,114.44,4,0.0,0.0,0.0
USDJPY,20010103,22700,114.44,114.44,114.44,114.44,4,0.0,0.0,0.0
USDJPY,20010103,22800,114.44,114.45,114.44,114.45,4,100.0,33.333333333333336,1.0
USDJPY,20010103,22900,114.45,114.45,114.45,114.45,4,100.0,66.66666666666667,0.0
USDJPY,20010103,23000,114.45,114.45,114.44,114.44,4,0.0,66.66666666666667,0.0
USDJPY,20010103,23100,114.44,114.44,114.44,114.44,4,0.0,33.333333333333336,0.0
USDJPY,20010103,23200,114.44,114.44,114.44,114.44,4,0.0,0.0,0.0
USDJPY,20010103,23300,114.44,114.45,114.44,114.45,4,100.0,33.333333333333336,1.0
USDJPY,20010103,23400,114.45,114.45,114.45,114.45,4,100.0,66.66666666666667,0.0
USDJPY,20010103,23500,114.45,114.45,114.45,114.45,4,100.0,100.0,0.0
USDJPY,20010103,23600,114.46,114.47,114.46,114.47,4,100.0,100.0,0.0
USDJPY,20010103,23700,114.47,114.47,114.47,114.47,4,100.0,100.0,0.0
USDJPY,20010103,23800,114.47,114.47,114.47,114.47,4,100.0,100.0,0.0
USDJPY,20010103,23900,114.47,114.47,114.47,114.47,4,100.0,100.0,0.0
USDJPY,20010103,24000,114.47,114.48,114.47,114.48,4,100.0,100.0,0.0
USDJPY,20010103,24100,114.48,114.48,114.48,114.48,4,100.0,100.0,0.0
USDJPY,20010103,24200,114.48,114.48,114.48,114.48,4,100.0,100.0,0.0
USDJPY,20010103,24300,114.48,114.48,114.48,114.48,4,100.0,100.0,0.0
USDJPY,20010103,24400,114.49,114.5,114.49,114.5,4,100.0,100.0,0.0
USDJPY,20010103,24500,114.5,114.53,114.5,114.53,4,100.0,100.0,0.0
USDJPY,20010103,24600,114.53,114.54,114.53,114.54,4,100.0,100.0,0.0
USDJPY,20010103,24700,114.54,114.56,114.54,114.55,4,90.90909090908622,96.9696969696954,-1.0
USDJPY,20010103,24800,114.56,114.56,114.56,114.56,4,100.0,96.9696969696954,0.0
USDJPY,20010103,24900,114.57,114.58,114.56,114.58,4,100.0,96.9696969696954,0.0
USDJPY,20010103,25000,114.58,114.58,114.58,114.58,4,100.0,100.0,0.0
USDJPY,20010103,25100,114.57,114.57,114.56,114.56,4,81.81818181818534,93.93939393939512,-1.0
USDJPY,20010103,25200,114.56,114.56,114.56,114.56,4,81.81818181818534,87.87878787879022,0.0
USDJPY,20010103,25300,114.56,114.56,114.56,114.56,4,81.81818181818534,81.81818181818534,0.0
USDJPY,20010103,25400,114.56,114.56,114.56,114.56,4,80.00000000000284,81.2121212121245,-1.0
USDJPY,20010103,25500,114.56,114.58,114.56,114.58,4,100.0,87.2727272727294,0.0
USDJPY,20010103,25600,114.57,114.58,114.57,114.58,4,100.0,93.33333333333428,0.0
USDJPY,20010103,25700,114.57,114.57,114.56,114.56,4,77.77777777778304,92.59259259259436,-1.0
USDJPY,20010103,25800,114.56,114.58,114.56,114.58,4,100.0,92.59259259259436,0.0
USDJPY,20010103,25900,114.57,114.57,114.56,114.56,4,60.000000000005684,79.25925925926292,-1.0
USDJPY,20010103,30000,114.56,114.57,114.56,114.57,4,74.99999999998224,78.3333333333293,0.0
USDJPY,20010103,30100,114.57,114.58,114.57,114.58,4,100.0,78.3333333333293,0.0
USDJPY,20010103,30200,114.58,114.58,114.58,114.58,4,100.0,91.66666666666076,0.0
USDJPY,20010103,30300,114.58,114.58,114.58,114.58,4,100.0,100.0,0.0
USDJPY,20010103,30400,114.58,114.58,114.58,114.58,4,100.0,100.0,0.0
USDJPY,20010103,30500,114.58,114.58,114.58,114.58,4,100.0,100.0,0.0
USDJPY,20010103,30600,114.58,114.58,114.58,114.58,4,100.0,100.0,0.0
USDJPY,20010103,30700,114.58,114.58,114.56,114.56,4,0.0,66.66666666666667,-1.0
USDJPY,20010103,30800,114.56,114.56,114.56,114.56,4,0.0,33.333333333333336,0.0
USDJPY,20010103,30900,114.56,114.56,114.56,114.56,4,0.0,0.0,0.0
USDJPY,20010103,31000,114.56,114.56,114.56,114.56,4,0.0,0.0,0.0
USDJPY,20010103,31100,114.56,114.56,114.56,114.56,4,0.0,0.0,0.0
USDJPY,20010103,31200,114.56,114.56,114.56,114.56,4,0.0,0.0,0.0
USDJPY,20010103,31300,114.56,114.56,114.56,114.56,4,0.0,0.0,0.0
USDJPY,20010103,31400,114.56,114.56,114.56,114.56,4,0.0,0.0,0.0
USDJPY,20010103,31500,114.56,114.56,114.56,114.56,4,0.0,0.0,0.0
USDJPY,20010103,31600,114.56,114.56,114.56,114.56,4,0.0,0.0,0.0
USDJPY,20010103,31700,114.56,114.56,114.56,114.56,4,0.0,0.0,0.0
USDJPY,20010103,31800,114.55,114.56,114.55,114.56,4,33.333333333349124,11.111111111116374,1.0
USDJPY,20010103,31900,114.56,114.56,114.56,114.56,4,33.333333333349124,22.222222222232748,0.0
USDJPY,20010103,32000,114.56,114.56,114.56,114.56,4,33.333333333349124,33.333333333349124,0.0
USDJPY,20010103,32100,114.56,114.56,114.56,114.56,4,100.0,55.55555555556608,0.0
USDJPY,20010103,32200,114.56,114.56,114.56,114.56,4,100.0,77.77777777778304,0.0
USDJPY,20010103,32300,114.56,114.56,114.56,114.56,4,100.0,100.0,0.0
USDJPY,20010103,32500,114.56,114.56,114.56,114.56,4,100.0,100.0,0.0
USDJPY,20010103,32600,114.54,114.56,114.52,114.56,4,100.0,100.0,0.0
USDJPY,20010103,32700,114.56,114.56,114.56,114.56,4,100.0,100.0,0.0
USDJPY,20010103,32800,114.56,114.56,114.56,114.56,4,100.0,100.0,0.0
USDJPY,20010103,32900,114.56,114.56,114.56,114.56,4,100.0,100.0,0.0
USDJPY,20010103,33000,114.56,114.56,114.56,114.56,4,100.0,100.0,0.0
USDJPY,20010103,33100,114.54,114.55,114.54,114.55,4,74.99999999999112,91.66666666666372,-1.0
USDJPY,20010103,33300,114.55,114.55,114.55,114.55,4,74.99999999999112,83.33333333332742,0.0
USDJPY,20010103,33500,114.56,114.56,114.54,114.54,4,50.000000000017764,66.66666666666667,0.0
USDJPY,20010103,33600,114.54,114.54,114.54,114.54,4,50.000000000017764,58.33333333334222,0.0
USDJPY,20010103,33700,114.54,114.54,114.54,114.54,4,50.000000000017764,50.000000000017764,0.0
USDJPY,20010103,33900,114.54,114.54,114.53,114.53,4,25.000000000008882,41.66666666668147,0.0
USDJPY,20010103,34000,114.53,114.53,114.53,114.53,4,25.000000000008882,33.33333333334517,0.0
USDJPY,20010103,34100,114.53,114.53,114.53,114.53,4,25.000000000008882,25.000000000008882,0.0
USDJPY,20010103,34200,114.53,114.53,114.53,114.53,4,25.000000000008882,25.000000000008882,0.0
USDJPY,20010103,34300,114.53,114.53,114.53,114.53,4,0.0,16.666666666672587,0.0
USDJPY,20010103,34400,114.53,114.53,114.53,114.53,4,0.0,8.333333333336293,0.0
USDJPY,20010103,34500,114.53,114.53,114.53,114.53,4,0.0,0.0,0.0
USDJPY,20010103,34600,114.53,114.54,114.53,114.54,4,33.333333333349124,11.111111111116374,1.0
USDJPY,20010103,34700,114.54,114.54,114.54,114.54,4,33.333333333349124,22.222222222232748,0.0
USDJPY,20010103,34800,114.54,114.54,114.54,114.54,4,33.333333333349124,33.333333333349124,0.0
USDJPY,20010103,34900,114.54,114.54,114.54,114.54,4,33.333333333349124,33.333333333349124,0.0
USDJPY,20010103,35000,114.54,114.54,114.54,114.54,4,100.0,55.55555555556608,0.0
USDJPY,20010103,35100,114.54,114.54,114.54,114.54,4,100.0,77.77777777778304,0.0
USDJPY,20010103,35200,114.54,114.54,114.54,114.54,4,100.0,100.0,0.0
USDJPY,20010103,35300,114.54,114.54,114.54,114.54,4,100.0,100.0,0.0
USDJPY,20010103,35400,114.55,114.56,114.55,114.56,4,100.0,100.0,0.0
USDJPY,20010103,35500,114.56,114.56,114.56,114.56,4,100.0,100.0,0.0
USDJPY,20010103,35600,114.56,114.56,114.56,114.56,4,100.0,100.0,0.0
USDJPY,20010103,35700,114.56,114.56,114.56,114.56,4,100.0,100.0,0.0
USDJPY,20010103,35800,114.56,114.56,114.56,114.56,4,100.0,100.0,0.0
USDJPY,20010103,35900,114.56,114.58,114.56,114.58,4,100.0,100.0,0.0
USDJPY,20010103,40000,114.58,114.58,114.58,114.58,4,100.0,100.0,0.0
USDJPY,20010103,40100,114.58,114.58,114.58,114.58,4,100.0,100.0,0.0
USDJPY,20010103,40200,114.58,114.58,114.58,114.58,4,100.0,100.0,0.0
USDJPY,20010103,40300,114.58,114.58,114.58,114.58,4,100.0,100.0,0.0
USDJPY,20010103,40400,114.58,114.58,114.58,114.58,4,100.0,100.0,0.0
USDJPY,20010103,40500,114.58,114.59,114.58,114.59,4,100.0,100.0,0.0
USDJPY,20010103,40600,114.6,114.6,114.58,114.58,4,66.66666666666667,88.8888888888889,-1.0
USDJPY,20010103,40700,114.58,114.58,114.58,114.58,4,60.000000000005684,75.55555555555746,0.0
USDJPY,20010103,40800,114.58,114.58,114.58,114.58,4,50.0,58.88888888889079,0.0
USDJPY,20010103,40900,114.58,114.58,114.58,114.58,4,50.0,53.333333333335226,0.0
USDJPY,20010103,41000,114.58,114.58,114.58,114.58,4,50.0,50.0,0.0
USDJPY,20010103,41100,114.58,114.58,114.58,114.58,4,50.0,50.0,0.0
USDJPY,20010103,41200,114.57,114.57,114.56,114.56,4,0.0,33.333333333333336,0.0
USDJPY,20010103,41300,114.57,114.58,114.57,114.58,4,50.0,33.333333333333336,0.0
USDJPY,20010103,41400,114.58,114.58,114.58,114.58,4,50.0,33.333333333333336,0.0
USDJPY,20010103,41500,114.58,114.58,114.58,114.58,4,50.0,50.0,0.0
USDJPY,20010103,41600,114.58,114.58,114.58,114.58,4,50.0,50.0,0.0
USDJPY,20010103,41700,114.58,114.58,114.58,114.58,4,50.0,50.0,0.0
USDJPY,20010103,41800,114.58,114.58,114.56,114.56,4,0.0,33.333333333333336,0.0
USDJPY,20010103,41900,114.56,114.57,114.56,114.56,4,0.0,16.666666666666668,0.0
USDJPY,20010103,42000,114.56,114.56,114.56,114.56,4,0.0,0.0,0.0
USDJPY,20010103,42200,114.56,114.56,114.56,114.56,4,0.0,0.0,0.0
USDJPY,20010103,42300,114.56,114.56,114.56,114.56,4,0.0,0.0,0.0
USDJPY,20010103,42400,114.56,114.56,114.56,114.56,4,0.0,0.0,0.0
USDJPY,20010103,42500,114.56,114.56,114.55,114.56,4,33.333333333349124,11.111111111116374,1.0
USDJPY,20010103,42600,114.56,114.56,114.56,114.56,4,33.333333333349124,22.222222222232748,0.0
USDJPY,20010103,42700,114.56,114.56,114.56,114.56,4,33.333333333349124,33.333333333349124,0.0
USDJPY,20010103,42800,114.56,114.56,114.56,114.56,4,33.333333333349124,33.333333333349124,0.0
USDJPY,20010103,42900,114.56,114.56,114.56,114.56,4,33.333333333349124,33.333333333349124,0.0
USDJPY,20010103,43000,114.56,114.56,114.56,114.56,4,33.333333333349124,33.333333333349124,0.0
USDJPY,20010103,43100,114.56,114.56,114.56,114.56,4,33.333333333349124,33.333333333349124,0.0
USDJPY,20010103,43200,114.56,114.56,114.56,114.56,4,33.333333333349124,33.333333333349124,0.0
USDJPY,20010103,43300,114.56,114.56,114.55,114.55,4,0.0,22.222222222232748,0.0
USDJPY,20010103,43400,114.55,114.55,114.55,114.55,4,0.0,11.111111111116374,0.0
